shot,club,block,n_snapshots,n_frames,window,n_fft,trackman_launch_deg,trackman_ball_ms,radar_height_m,tilt_deg,median_all_cross_asym_db,median_all_cross_excess_fraction,median_all_double_asym_db,median_all_double_excess_fraction,median_all_shoulder_asym_db,median_all_peak_shift_cm,median_early_cross_asym_db,median_early_cross_excess_fraction,median_early_double_asym_db,median_early_double_excess_fraction,median_early_shoulder_asym_db,median_early_peak_shift_cm,median_late_cross_asym_db,median_late_cross_excess_fraction,median_late_double_asym_db,median_late_double_excess_fraction,median_late_shoulder_asym_db,median_late_peak_shift_cm,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
72,7Iron,A,29,8,rectangular,1024,1.6789999999999963,34.19850331256091,0.1524,10.404948650719305,0.09212792419086484,0.0209430076952593,0.17069996544369112,0.03716582750826052,0.3617001778228915,0.09219152116469731,0.05289432325117616,0.011998157556184693,0.09506554510940846,0.02008963621108485,-0.520160157758913,-0.06548777721767651,0.2099512606212181,0.04751301287717749,0.4329493456912503,0.09434261533320885,0.8116874276114648,0.36305769734861215,0.3720232386989153,0.7440464773978306,2.793670820389339,1.9708470209167273
73,7Iron,A,20,6,rectangular,1024,18.677999999999987,50.470732339714075,0.1524,10.404948650719305,-1.6850805746110273,-0.1742398583065961,-1.8111333389748003,-0.04956022544628958,-1.5285812640656244,-0.5473606838240275,-1.1881470701247814,-0.1370857847732222,-0.9596043000717875,-0.043973405443480613,-1.1335594455668767,-0.14791883719760812,-2.1994001010357636,-0.2879444568450644,-1.9681029620588395,-0.053898421669400245,-1.276490875224324,-0.3673315857399384,2.4854899919451223,4.970979983890245,18.747424699345338,0.6973938455064131
74,7Iron,A,17,5,rectangular,1024,16.30699999999998,53.91293463391955,0.1524,10.404948650719305,-0.3090656683455627,-0.049561472411128384,0.3169169386450293,0.019308411605444532,0.5342117683510071,-0.11243597481901402,-1.3722408725462365,-0.1962716147080225,-0.563796432709702,-0.05694058498322487,-0.6934896791555155,-0.2951408742600581,0.5886861624462658,0.07526805065201757,1.5240021876118686,0.08797833052362392,0.42986272903925477,0.2907966257399419,2.245325921348318,4.490651842696636,16.922831067916306,0.7589463890119509
75,7Iron,A,22,7,rectangular,1024,17.240999999999993,52.66122470875392,0.1524,10.404948650719305,-0.10141078082873758,-0.010713207820710733,-0.26266504372593147,-0.01606815399639805,-0.30852741972063186,-0.12011029087162228,-2.64138886862251,-0.37653197723241155,-1.459461472886352,-0.042057386802048784,-2.365083141287547,-0.6540637822828599,0.8192728119114849,0.10796930484233938,1.2623565108504877,0.024967847928398942,0.7493417622314512,0.1156813967730097,2.350958417558935,4.70191683511787,17.725037975604877,0.7315387118095754
76,7Iron,A,21,6,rectangular,1024,12.092000000000013,46.49208293472332,0.1524,10.404948650719305,-0.6375737696605731,-0.11209935224735709,-0.9417087300147362,-0.03383939088474252,-0.5706031669801926,-0.20106618702387946,-0.5888358483779156,-0.10142176069484539,-1.683685204420302,-0.10716708608786536,-1.8359519511415487,-0.28841353762110167,-0.786718136020048,-0.13960423531771043,-1.8140939249870356,-0.1444841452605819,-1.8482115821814031,-0.25667133686884114,1.5121371067045475,3.024274213409095,11.369887979679831,0.9651732900795856
77,7Iron,A,19,6,rectangular,1024,13.927999999999987,46.447379008824555,0.1524,10.404948650719305,0.25065744047406785,0.04292181731994372,0.6666469541572517,0.03272377808347575,0.0632512929307174,-0.06297949325527741,-2.3909473601001348,-0.3750918047154654,-2.8495230626001513,-0.23893655097163138,-1.9992615170763772,-0.6527529715466551,0.42894043642922464,0.0713915225575887,1.837979880689423,0.08193885032950181,0.6094020995191921,0.06747165648204323,1.8356300995302055,3.671260199060411,13.816256123475258,0.8681071404914379
78,7Iron,A,20,5,rectangular,1024,6.121999999999985,30.97982064784929,0.1524,10.404948650719305,0.11478764489140889,0.02391802739031755,0.2892779267218479,0.044692773355307705,0.08867240393621215,0.017477673487126255,0.045176183566287054,0.009443723892814206,0.15721629854841174,0.024166846179891843,-0.12594259067450816,0.017477673487126255,0.2616245777314188,0.054017518279112935,0.5448676766228959,0.07940523171694425,0.4963205315203798,0.16229150313209484,0.8401431064723353,1.6802862129446705,6.309573713719115,1.337716895253092
79,7Iron,A,23,7,rectangular,1024,15.657999999999998,49.75546952533371,0.1524,10.404948650719305,-4.929912369135658,-0.7412204414769691,-5.476026417220632,-0.34326747693648907,-4.765574824138537,-1.2719406595505522,-5.618613413420276,-0.9078043601802865,-7.358495622788126,-0.720807136490859,-5.547157875697812,-1.8578781595505522,-4.11892121164523,-0.5829309545212743,-5.00718381238663,-0.23005015753463434,-4.300020241760364,-1.1025100018661638,1.9777349304628045,3.955469860925609,14.88989545655567,0.8128228403786634
80,7Iron,A,23,6,rectangular,1024,14.687999999999988,47.430865378597545,0.1524,10.404948650719305,-2.4955146883355668,-0.3639154062736067,-3.5690476886645217,-0.22619116794185573,-3.437021876769678,-0.830108161062082,-3.935636580992072,-0.6223194069518495,-5.461008821236089,-0.33783382500899434,-5.142273548830778,-0.9651056238842659,-2.019120909661207,-0.31609549729140846,-2.9908461894324327,-0.20651213895305545,-3.2690097193101657,-0.607119715326998,1.8718575759894884,3.743715151978977,14.088725148514298,0.8461074994915314
81,7Iron,A,22,6,rectangular,1024,9.146999999999982,48.727279229661946,0.1524,10.404948650719305,-1.135203609355306,-0.2114384675957659,-1.8985745349028642,-0.20159499301403372,-2.308753627210958,-0.41373880654481665,-0.9448921924866669,-0.18387997924204974,-1.2684643646348195,-0.1731110928306909,-1.4663667133056333,-0.33365810870649715,-1.9707446416087062,-0.3800421841501183,-3.415731136494905,-0.4300925594225846,-3.4634429387826775,-0.8686418509150418,1.2130658970667563,2.4261317941335125,9.116059131796252,1.1100366775457713
