shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
72,7Iron,A,four4,hann,peak,none,ops,first,4.7,14,4,5.5407300423679215,1.6789999999999963,3.8617300423679253,-1.7991903646610825,-1.7910635361507057,0.008126828510376827,0.9915415502919196,0.7301903195113277,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
73,7Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,15.752385829609379,18.677999999999987,-2.925614170390608,-1.5041337823604408,-1.4853670498962064,0.018766732464234437,0.31559046446332906,0.11853744845800253,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
74,7Iron,A,four4,hann,peak,none,ops,first,4.7,8,2,11.06720420044507,16.30699999999998,-5.23979579955491,-1.6560096498955281,-1.6221675591843987,0.033842090711129424,0.48484506785967213,0.20096773278105,53.91293463391955,52.245087594089,0.1524,10.404948650719305
75,7Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,13.109164260406903,17.240999999999993,-4.13183573959309,-1.5616618343685482,-1.5404365569870118,0.021225277381536456,0.3735410047273551,0.1776893917988321,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
76,7Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,4.298909027225872,12.092000000000013,-7.793090972774141,-1.4025093340716157,-1.3618017866798127,0.040707547391803045,0.7892085314802558,0.5728532452270846,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
77,7Iron,A,four4,hann,peak,none,ops,first,4.7,9,3,13.88175742550819,13.927999999999987,-0.04624257449179581,-1.664527312619992,-1.6645379459849317,-1.0633364939671708e-05,0.5467366375398081,0.23573043236486618,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
78,7Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,-5.0,6.121999999999985,-11.121999999999986,-1.995482820196079,-1.7941171912322709,0.20136562896380816,0.8787158496955465,0.8395714265470735,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
79,7Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,4.20066237334142,15.657999999999998,-11.457337626658578,-1.6736296032763007,-1.5493550333023054,0.12427456997399533,0.67774861152954,0.3910639358011726,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
80,7Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,4.494331156363841,14.687999999999988,-10.193668843636146,-1.1400995767963373,-1.0916569833322096,0.048442593464127714,0.7635685418384336,0.5243911061149101,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
81,7Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,3.4200634223333393,9.146999999999982,-5.726936577666644,-1.0217619699068845,-1.007988140780632,0.01377382912625258,1.032625719972192,0.8997691051879556,48.727279229661946,47.111467292198604,0.1524,10.404948650719305
82,7Iron,A,four4,hann,peak,none,ops,first,4.7,11,3,15.278546015905128,17.27599999999998,-1.9974539840948502,-1.3409166836360347,-1.3370706521414804,0.003846031494554314,0.589406668254565,0.14090608242713243,48.548463526066854,46.632556508514135,0.1524,10.404948650719305
83,7Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,13.062746238936006,18.87599999999999,-5.813253761063985,-1.3149866543737176,-1.2628483967733592,0.052138257600358395,0.4751879599143972,0.1775132407501037,50.06839700662512,48.107925317263614,0.1524,10.404948650719305
84,7Iron,A,four4,hann,peak,none,ops,first,4.7,6,2,17.852718287522684,16.949999999999992,0.902718287522692,-1.3529854431415211,-1.3517899016192538,0.0011955415222673071,0.35715997700343133,0.1354790484412498,54.53878959650236,52.80983073560512,0.1524,10.404948650719305
86,5Iron,A,four4,hann,peak,none,ops,first,4.7,10,3,6.027426929651294,14.677,-8.649573070348705,-1.4548953902867714,-1.4012492635673495,0.05364612671942193,0.6895696652550638,0.352075154304234,50.023693080726346,47.53024373748418,0.1524,10.404948650719305
