shot,club,block,model,velocity_source,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,trackman_ball_ms,radar_ball_ms,launch_error_deg,best_cv_log_error,truth_cv_log_error,truth_minus_best_cv,radar_height_m,tilt_deg,tee_distance_m,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
99,5Iron,A,two8_path_tdm,truth,19,5,10.121859575096398,14.71499999999999,58.47273507559434,56.6371797113006,-4.593140424903591,-1.5572148606547749,-1.2576376339551765,0.2995772266995984,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,two8_path_tdm_neg,truth,19,5,10.141822985369936,14.71499999999999,58.47273507559434,56.6371797113006,-4.573177014630053,-1.550609379445628,-1.2615050624508122,0.28910431699481576,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,four3,truth,19,5,14.664876301737458,14.71499999999999,58.47273507559434,56.6371797113006,-0.05012369826253149,-1.498051603573364,-1.497727708209305,0.0003238953640589681,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,four3_path_tdm,truth,19,5,14.657893338110103,14.71499999999999,58.47273507559434,56.6371797113006,-0.05710666188988611,-1.5051870587454625,-1.5045247689625865,0.0006622897828760799,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,four3_path_tdm_neg,truth,19,5,14.664345384261317,14.71499999999999,58.47273507559434,56.6371797113006,-0.05065461573867225,-1.4904700822987125,-1.4900650751228095,0.00040500717590297164,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,four4_path_tdm,truth,19,5,16.574275057011953,14.71499999999999,58.47273507559434,56.6371797113006,1.8592750570119634,-1.862258029296956,-1.8376399112005792,0.024618118096376707,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,four4_path_tdm_neg,truth,19,5,16.574275057012,14.71499999999999,58.47273507559434,56.6371797113006,1.8592750570120096,-1.862258029296956,-1.8376399112005786,0.024618118096377373,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,tx_later4,truth,19,5,15.90712144604824,14.71499999999999,58.47273507559434,56.6371797113006,1.192121446048251,-1.9417388961359154,-1.9266488634790186,0.01509003265689679,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
99,5Iron,A,tx_earlier4,truth,19,5,15.55013426560969,14.71499999999999,58.47273507559434,56.6371797113006,0.8351342656097014,-1.5159937341774143,-1.5135190135407626,0.0024747206366517727,0.1524,10.404948650719305,1.5709841628737065,2.069316851266989,4.138633702533978,15.588137354243273,0.8102372342042677
101,5Iron,A,two8,truth,16,4,10.154840603451047,14.392000000000003,57.08691337273239,55.92534376491948,-4.237159396548956,-1.3395651091638294,-1.16864743724971,0.17091767191411944,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,two8_path_tdm,truth,16,4,10.159555510364212,14.392000000000003,57.08691337273239,55.92534376491948,-4.232444489635791,-1.3456069681388863,-1.1739147210322947,0.1716922471065916,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,two8_path_tdm_neg,truth,16,4,10.155470196330988,14.392000000000003,57.08691337273239,55.92534376491948,-4.236529803669015,-1.3339019829499694,-1.1644460308593247,0.16945595209064468,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,four3,truth,16,4,14.367248779149502,14.392000000000003,57.08691337273239,55.92534376491948,-0.024751220850500744,-1.2840622273766182,-1.2851035896282257,-0.0010413622516074472,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,four3_path_tdm,truth,16,4,-2.1436644206353432,14.392000000000003,57.08691337273239,55.92534376491948,-16.535664420635346,-1.3828371562486075,-1.294965408497824,0.08787174775078355,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,four3_path_tdm_neg,truth,16,4,14.409277193298387,14.392000000000003,57.08691337273239,55.92534376491948,0.01727719329838351,-1.2750362210136983,-1.274585939502634,0.0004502815110642988,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,four4_path_tdm,truth,16,4,15.526999562452994,14.392000000000003,57.08691337273239,55.92534376491948,1.1349995624529914,-1.8802865294488496,-1.8749336612471597,0.005352868201689898,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,four4_path_tdm_neg,truth,16,4,15.526999562453359,14.392000000000003,57.08691337273239,55.92534376491948,1.1349995624533555,-1.880286529448848,-1.8749336612471557,0.00535286820169234,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,tx_later4,truth,16,4,15.046693892119077,14.392000000000003,57.08691337273239,55.92534376491948,0.6546938921190737,-1.9560082902487816,-1.953833846183432,0.0021744440653497232,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
101,5Iron,A,tx_earlier4,truth,16,4,17.362718304373082,14.392000000000003,57.08691337273239,55.92534376491948,2.9707183043730794,-1.5605017823829952,-1.5395217733850124,0.020980008997982802,0.1524,10.404948650719305,1.5709841628737065,1.9135333155520295,3.827066631104059,14.40596371483836,0.8428939363622897
103,Driver,A,two8,truth,12,3,7.072533455189613,10.004000000000007,66.20651425608196,65.04050420858877,-2.9314665448103936,-2.107712686431542,-1.978681133117833,0.1290315533137092,0.1524,10.404948650719305,1.5725731270754948,1.4680188300076558,2.9360376600153115,11.037954798479962,0.9924350878985017
