shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
77,7Iron,A,direct1,hann,peak,none,ops,second,4.7,10,4,11.866279989952707,13.927999999999987,-2.0617200100472797,-0.7468198660789209,-0.7284243076663617,0.018395558412559243,nan,nan,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,two2,hann,peak,none,ops,second,4.7,10,4,9.755043543264703,13.927999999999987,-4.1729564567352835,-0.9216430302293595,-0.867793679565507,0.053849350663852436,nan,0.35302469137187376,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,four4,hann,peak,none,ops,second,4.7,10,4,13.751503775510244,13.927999999999987,-0.17649622448974256,-1.1496827253285593,-1.1497413858962011,-5.86605676418106e-05,0.46966347855591284,0.13547005701967538,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
78,7Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,-3.6355606287683577,6.121999999999985,-9.757560628768342,-1.2356138605638007,-0.7225956823516576,0.5130181782121431,nan,nan,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,-4.020554004599352,6.121999999999985,-10.142554004599337,-1.476027581624411,-1.3200891939767354,0.15593838764767565,nan,0.718086064438529,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,-3.05948684339219,6.121999999999985,-9.181486843392175,-1.5783754934579457,-1.4575560774528193,0.12081941600512636,0.8396653793710231,0.7403899420532571,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
79,7Iron,A,direct1,hann,peak,none,ops,second,4.7,12,5,10.139745201054298,15.657999999999998,-5.5182547989457,-0.8603934822413926,-0.717381434275586,0.14301204796580658,nan,nan,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,two2,hann,peak,none,ops,second,4.7,12,5,10.61196161447855,15.657999999999998,-5.046038385521447,-0.94351840300075,-0.803947694297342,0.13957070870340793,nan,0.15407731385203222,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,four4,hann,peak,none,ops,second,4.7,12,5,12.622454547434298,15.657999999999998,-3.0355454525656995,-1.0864381582662397,-1.0666824720710641,0.019755686195175537,0.2584891882504344,0.18367608720797068,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
80,7Iron,A,direct1,hann,peak,none,ops,second,4.7,12,4,13.47478399113445,14.687999999999988,-1.2132160088655386,-0.8280128953068062,-0.8178139788728557,0.010198916433950544,nan,nan,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
