variant,shot,club,block,n_components,components,launch_angle_deg,trackman_launch_deg,trackman_ball_mph,ops_ball_mph,raw_error_deg,block_a_offset_deg,fixed_error_deg,corrected_launch_angle_deg
fast_late_three,131,9Iron (relabeled),B,3,fast:direct1+fast:two2+fast:four4,20.20679089203367,20.895000000000007,110.2,104.9,-0.6882091079663368,-2.9022206788919394,2.2140115709256025,23.10901157092561
fast_late_three,132,9Iron (relabeled),B,3,fast:direct1+fast:two2+fast:four4,16.73850418730824,18.08299999999998,92.70000000000002,88.3,-1.34449581269174,-2.9022206788919394,1.5577248662001995,19.64072486620018
fast_late_three,133,9Iron,B,3,fast:direct1+fast:two2+fast:four4,19.23209648571368,21.477999999999987,106.2,100.9,-2.245903514286308,-2.9022206788919394,0.6563171646056314,22.13431716460562
fast_late_three,134,9Iron,B,3,fast:direct1+fast:two2+fast:four4,11.146670492465276,15.599999999999998,108.1,103.5,-4.453329507534722,-2.9022206788919394,-1.5511088286427825,14.048891171357216
fast_late_three,136,9Iron,B,3,fast:direct1+fast:two2+fast:four4,18.571162412313726,19.54499999999999,113.7,108.4,-0.9738375876862655,-2.9022206788919394,1.9283830912056739,21.473383091205665
fast_late_three,137,9Iron,B,3,fast:direct1+fast:two2+fast:four4,14.846122524134948,18.307,112.0,106.9,-3.4608774758650505,-2.9022206788919394,-0.5586567969731111,17.748343203026888
fast_late_three,142,9Iron,C,3,fast:direct1+fast:two2+fast:four4,12.88392265676496,15.446,101.9,98.5,-2.562077343235039,-2.9022206788919394,0.34014333565690036,15.7861433356569
fast_late_three,144,9Iron,C,3,fast:direct1+fast:two2+fast:four4,18.87889735156123,21.873,105.6,101.4,-2.9941026484387727,-2.9022206788919394,-0.09188196954683336,21.781118030453168
fast_late_three,145,9Iron,C,3,fast:direct1+fast:two2+fast:four4,17.85851646261718,21.694999999999986,109.0,104.8,-3.8364835373828043,-2.9022206788919394,-0.934262858490865,20.76073714150912
fast_late_three,146,9Iron,C,3,fast:direct1+fast:two2+fast:four4,3.88403247440406,6.429999999999999,93.7,92.1,-2.545967525595939,-2.9022206788919394,0.3562531532960005,6.786253153295999
fast_late_three,147,9Iron,C,3,fast:direct1+fast:two2+fast:four4,18.725004573716422,23.108,107.39999999999999,102.9,-4.382995426283578,-2.9022206788919394,-1.480774747391639,21.627225252608362
fast_late_three,149,9Iron,C,3,fast:direct1+fast:two2+fast:four4,22.58277857575187,23.08599999999999,113.1,108.3,-0.503221424248121,-2.9022206788919394,2.3989992546438184,25.48499925464381
fast_late_three,151,9Iron,C,3,fast:direct1+fast:two2+fast:four4,15.991623087117867,19.529000000000003,103.0,99.0,-3.537376912882136,-2.9022206788919394,-0.6351562339901968,18.893843766009805
fast_late_three,152,7Iron,C,3,fast:direct1+fast:two2+fast:four4,16.38452115058017,16.805000000000007,117.0,113.1,-0.4204788494198368,-2.9022206788919394,2.4817418294721025,19.28674182947211
