shot,club,stage,mode,n_snapshots,launch_angle_deg,trackman_launch_deg,launch_error_deg,sampled_truth_angle_deg,model_bias_deg,height_error_cm,truth_direct_deg,direct_image_sep_deg,truth_explained,best_explained,truth_corrupt_zone_pct,bartlett_gate_pct
65,9Iron,middle3,local,40,14.633047222714934,17.449000000000005,-2.815952777285071,17.059457170866825,-2.426409948151891,-7.746678359334597,-4.172185524583625,18.180171816117117,0.856736004961985,0.9072692459738241,0.0,2.5
65,9Iron,middle3,truth,41,15.477104427217693,17.449000000000005,-1.9718955727823122,17.060016514511442,-1.5829120872937494,-5.428834416011075,-4.180039344477742,18.168631797749356,0.8712971825728374,0.9055477195180934,0.0,7.317073170731707
65,9Iron,last3,local,33,15.107900405842873,17.449000000000005,-2.341099594157132,17.019470799665573,-1.9115703938227,-7.428834416011076,-3.3187829271137606,19.43295612751365,0.8581585904037807,0.9049885378996435,9.090909090909092,6.0606060606060606
65,9Iron,last3,truth,33,15.804630729191743,17.449000000000005,-1.6443692708082622,17.01955439070842,-1.2149236615166785,-5.428834416011075,-3.3187829271137606,19.43295612751365,0.8712971825728374,0.8993316192206966,9.090909090909092,15.151515151515152
66,9Iron,first3,local,35,15.681697036979353,21.533999999999995,-5.852302963020643,21.05008057214765,-5.368383535168297,-7.504890501029876,-4.198731675849637,19.004707921278357,0.7986260878219245,0.8517333016267148,2.857142857142857,5.714285714285714
66,9Iron,first3,truth,35,15.877176858792627,21.533999999999995,-5.656823141207369,21.049302079953502,-5.172125221160876,-6.819082009138172,-4.198731675849637,19.004707921278357,0.8027850064650739,0.8499195172573176,2.857142857142857,5.714285714285714
66,9Iron,middle3,local,30,14.210384284428875,21.533999999999995,-7.323615715571121,20.93771728718843,-6.727333002759556,-14.253374379550488,-2.670186482510048,21.381779712247475,0.7660794870713049,0.8519938351301479,30.0,6.666666666666667
66,9Iron,middle3,truth,30,14.82059338571847,21.533999999999995,-6.713406614281526,20.938355341707815,-6.117761955989346,-13.433060001483982,-2.670186482510048,21.381779712247475,0.7796271983309588,0.8514962748596211,30.0,6.666666666666667
66,9Iron,last3,local,24,15.970097704917505,21.533999999999995,-5.563902295082491,20.822709485821584,-4.852611780904079,-12.217137582940829,-1.4743275382553191,23.239122799172804,0.7767828478752559,0.8428475252597559,58.333333333333336,25.0
66,9Iron,last3,truth,24,16.85952374877432,21.533999999999995,-4.674476251225677,20.822347116036422,-3.9628233672621036,-10.011872234576272,-1.4743275382553191,23.239122799172804,0.7944177395041502,0.8444996009818073,58.333333333333336,25.0
67,9Iron,first3,local,38,11.45734837613912,21.057999999999993,-9.600651623860873,20.686908148010886,-9.229559771871767,-12.889769774318353,-5.400118710895738,17.061735866624957,0.7864974522133115,0.8791497661059775,0.0,2.631578947368421
67,9Iron,first3,truth,39,13.715101054425634,21.057999999999993,-7.342898945574358,20.681345618338387,-6.966244563912753,-10.01732832219481,-5.413948928557985,17.040302095982813,0.8071650939264315,0.8795611207318281,0.0,12.82051282051282
67,9Iron,middle3,local,37,13.73597908159427,21.057999999999993,-7.322020918405723,20.587138489850954,-6.8511594082566845,-15.191771823746139,-3.787029287138885,19.559637989153238,0.7820059129833868,0.9028687272079082,18.91891891891892,2.7027027027027026
67,9Iron,middle3,truth,37,15.50866260111908,21.057999999999993,-5.549337398880914,20.585423457349663,-5.0767608562305835,-8.886073235066371,-3.787029287138885,19.559637989153238,0.8071650939264315,0.8905286642495351,18.91891891891892,16.216216216216218
67,9Iron,last3,local,26,18.11326685172315,21.057999999999993,-2.9447331482768426,20.43225247710853,-2.3189856253853804,-4.850248374480029,-2.535837613785165,21.49430681451977,0.8366758433578316,0.8736644844488504,46.15384615384615,23.076923076923077
67,9Iron,last3,truth,26,19.158596688515924,21.057999999999993,-1.8994033114840683,20.434443958405176,-1.2758472698892511,-1.9260766867588042,-2.535837613785165,21.49430681451977,0.8498469416170067,0.8749762104691128,46.15384615384615,42.30769230769231
68,9Iron,first3,local,33,0.1192918542043462,5.689999999999997,-5.570708145795651,5.5235034011568125,-5.4042115469524665,-11.968377384911548,-10.799223808108392,6.027002419111333,0.8761162046999968,0.8765907361365279,0.0,0.0
68,9Iron,first3,truth,33,0.170342724775575,5.689999999999997,-5.5196572752244215,5.52329664466543,-5.352953919889854,-11.92730584429663,-10.799223808108392,6.027002419111333,0.8762646803667556,0.876743226555722,0.0,0.0
68,9Iron,middle3,local,33,0.2537377304682034,5.689999999999997,-5.4362622695317935,5.459675995443475,-5.205938264975272,-16.40039793927968,-10.111490602963363,6.588494414514271,0.8362428353655859,0.8427504394999247,0.0,0.0
68,9Iron,middle3,truth,33,0.307819238518435,5.689999999999997,-5.382180761481562,5.459633079527777,-5.151813841009343,-17.245532507796533,-10.111490602963363,6.588494414514271,0.8347679454992456,0.8419752839588155,0.0,0.0
68,9Iron,last3,local,35,0.5455481913512977,5.689999999999997,-5.144451808648699,5.4330835569272,-4.887535365575903,-17.644417541488878,-9.693699114979387,6.922217407779179,0.8687579109912807,0.8742821883179551,0.0,0.0
