shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
96,5Iron,A,four4,hann,track,none,16,4,9.893555044391931,14.196999999999997,-4.303444955608066,-1.4091791198713048,-1.3712912357150047,0.03788788415630018,0.4589060685559202,0.20362715930789987,57.93628796480906,56.177827827840886,0.1524,10.404948650719305
97,5Iron,A,direct1,hann,track,none,16,4,10.027494202346558,14.368000000000002,-4.340505797653444,-1.0530653147863893,-0.9490683939805498,0.10399692080583955,nan,nan,56.95280159503608,55.24302226726476,0.1524,10.404948650719305
97,5Iron,A,two2,hann,track,none,16,4,9.251234035366087,14.368000000000002,-5.116765964633915,-1.2457929496472857,-1.1046066277074358,0.14118632193984992,nan,0.2931405511790904,56.95280159503608,55.24302226726476,0.1524,10.404948650719305
97,5Iron,A,four3,hann,track,none,16,4,13.731667483991338,14.368000000000002,-0.6363325160086646,-1.364296937708291,-1.363186127770281,0.0011108099380099379,0.34101841581371983,0.1193207956952825,56.95280159503608,55.24302226726476,0.1524,10.404948650719305
97,5Iron,A,four4,hann,track,none,16,4,11.115452107815194,14.368000000000002,-3.2525478921848077,-1.5042714238099517,-1.482459243201204,0.021812180608747678,0.3940675411082586,0.10634991033418825,56.95280159503608,55.24302226726476,0.1524,10.404948650719305
98,5Iron,A,direct1,hann,track,none,17,5,12.212202281184656,14.74200000000001,-2.529797718815354,-1.0745500471466332,-1.0434010408620007,0.031149006284632463,nan,nan,59.05388611227838,57.17589581846707,0.1524,10.404948650719305
98,5Iron,A,two2,hann,track,none,17,5,11.802032748306381,14.74200000000001,-2.939967251693629,-1.1373417099862944,-1.0928447663208074,0.044496943665486954,nan,0.15415558446172578,59.05388611227838,57.17589581846707,0.1524,10.404948650719305
98,5Iron,A,four3,hann,track,none,17,5,12.472852040003154,14.74200000000001,-2.2691479599968556,-1.239238506466235,-1.2275269162431628,0.011711590223072221,0.25954954107940553,0.18643532467276994,59.05388611227838,57.17589581846707,0.1524,10.404948650719305
98,5Iron,A,four4,hann,track,none,17,5,11.752166329907212,14.74200000000001,-2.989833670092798,-1.377344011465492,-1.358811084788819,0.018532926676672945,0.3216799685822221,0.14432179208127158,59.05388611227838,57.17589581846707,0.1524,10.404948650719305
99,5Iron,A,direct1,hann,track,none,19,5,10.244755606083139,14.71499999999999,-4.47024439391685,-1.0344046704845111,-0.9058072889361375,0.12859738154837363,nan,nan,58.47273507559434,56.6371797113006,0.1524,10.404948650719305
99,5Iron,A,two2,hann,track,none,19,5,10.443837660757971,14.71499999999999,-4.271162339242018,-1.148925705135105,-1.0271443252834722,0.12178137985163273,nan,0.2870404374289438,58.47273507559434,56.6371797113006,0.1524,10.404948650719305
99,5Iron,A,four3,hann,track,none,19,5,13.144458782440214,14.71499999999999,-1.570541217559775,-1.224464624123589,-1.217672870275253,0.0067917538483359685,0.2040519183671378,0.17806108536112714,58.47273507559434,56.6371797113006,0.1524,10.404948650719305
99,5Iron,A,four4,hann,track,none,19,5,12.23577647958682,14.71499999999999,-2.4792235204131696,-1.4143715627783267,-1.3996570872356506,0.01471447554267602,0.357937599250929,0.12606161258558907,58.47273507559434,56.6371797113006,0.1524,10.404948650719305
101,5Iron,A,direct1,hann,track,none,16,4,12.85681214490306,14.392000000000003,-1.535187855096943,-0.9853300041772941,-0.9741788926719166,0.011151111505377509,nan,nan,57.08691337273239,55.92534376491948,0.1524,10.404948650719305
101,5Iron,A,two2,hann,track,none,16,4,11.664704385275819,14.392000000000003,-2.7272956147241842,-1.0616448026587904,-1.037116456718199,0.02452834594059139,nan,0.18937929006550647,57.08691337273239,55.92534376491948,0.1524,10.404948650719305
101,5Iron,A,four3,hann,track,none,16,4,13.078206225669827,14.392000000000003,-1.3137937743301755,-1.2314004056510959,-1.226905779956557,0.004494625694538845,0.24314155127682818,0.23646534964717797,57.08691337273239,55.92534376491948,0.1524,10.404948650719305
101,5Iron,A,four4,hann,track,none,16,4,12.89472185108525,14.392000000000003,-1.4972781489147522,-1.5085292561547283,-1.504149201217558,0.004380054937170419,0.394810956824878,0.14807937131409127,57.08691337273239,55.92534376491948,0.1524,10.404948650719305
103,Driver,A,direct1,hann,track,none,12,3,6.4084228355050294,10.004000000000007,-3.595577164494977,-1.3290116866953332,-1.2342428463000665,0.09476884039526667,nan,nan,66.20651425608196,65.04050420858877,0.1524,10.404948650719305
103,Driver,A,two2,hann,track,none,12,3,7.514514341982883,10.004000000000007,-2.4894856580171236,-1.4624598631148003,-1.4249913160921477,0.037468547022652565,nan,0.21590499004850805,66.20651425608196,65.04050420858877,0.1524,10.404948650719305
103,Driver,A,four3,hann,track,none,12,3,8.66052474522201,10.004000000000007,-1.3434752547779958,-1.4779138689650786,-1.474836507356107,0.0030773616089716516,0.15770527496627093,0.20933731921212873,66.20651425608196,65.04050420858877,0.1524,10.404948650719305
103,Driver,A,four4,hann,track,none,12,3,9.708122414388695,10.004000000000007,-0.2958775856113114,-1.5640585650924104,-1.563981243223097,7.732186931330709e-05,0.28123447276452684,0.14346937266858406,66.20651425608196,65.04050420858877,0.1524,10.404948650719305
104,Driver,A,direct1,hann,track,none,23,6,14.646789082023952,17.990000000000002,-3.34321091797605,-0.9041228064250798,-0.8437318954343009,0.06039091099077887,nan,nan,61.557305962609625,58.72067316160003,0.1524,10.404948650719305
