shot,club,block,model,velocity_source,speed_source,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,trackman_ball_ms,radar_ball_ms,launch_error_deg,best_cv_log_error,truth_cv_log_error,truth_minus_best_cv,radar_height_m,tilt_deg,tee_distance_m,median_cross_excess_cm,median_double_excess_cm,median_angle_separation_deg,median_reflection_point_m
68,9Iron,A,four3_path_tdm,radar,ops,20,5,-2.024413462025691,5.689999999999997,48.23553604477545,47.56644566975043,-7.7144134620256875,-1.471075853507915,-1.3134515816230343,0.1576242718848806,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,four3_path_tdm_neg,radar,ops,20,5,-1.827556756528464,5.689999999999997,48.23553604477545,47.56644566975043,-7.517556756528461,-1.440878674478505,-1.3159526725442716,0.12492600193423331,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,four4_path_tdm,radar,ops,20,5,8.546513570233822,5.689999999999997,48.23553604477545,47.56644566975043,2.856513570233825,-1.8827902150464193,-1.8743665659893878,0.008423649057031524,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,four4_path_tdm_neg,radar,ops,20,5,8.546513570233525,5.689999999999997,48.23553604477545,47.56644566975043,2.8565135702335285,-1.8827902150464186,-1.8743665659893858,0.008423649057032856,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,tx_later4,radar,ops,20,5,8.75645391152511,5.689999999999997,48.23553604477545,47.56644566975043,3.0664539115251133,-1.9369635210888254,-1.905220370395528,0.03174315069329747,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
68,9Iron,A,tx_earlier4,radar,ops,20,5,13.812860824979897,5.689999999999997,48.23553604477545,47.56644566975043,8.122860824979899,-1.9716663369670275,-1.9205658789460263,0.05110045802100127,0.1524,10.404948650719305,1.5709841628737065,0.8745533368726965,1.749106673745393,6.570383397192361,1.3805609237244483
69,9Iron,A,two8,radar,ops,19,7,19.103700540459787,21.013999999999996,52.21418544976619,50.25057192151659,-1.9102994595402087,-1.5402942940978046,-1.4285418692946423,0.11175242480316228,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,two8_path_tdm,radar,ops,19,7,19.11409049329077,21.013999999999996,52.21418544976619,50.25057192151659,-1.8999095067092249,-1.543217021550602,-1.4316267207167772,0.11159030083382482,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,two8_path_tdm_neg,radar,ops,19,7,19.100231578006255,21.013999999999996,52.21418544976619,50.25057192151659,-1.9137684219937405,-1.5381668444081835,-1.4257964134094026,0.11237043099878097,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,four3,radar,ops,19,7,17.620464633172574,21.013999999999996,52.21418544976619,50.25057192151659,-3.3935353668274217,-1.798259573213657,-1.64642834431612,0.15183122889753697,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,four3_path_tdm,radar,ops,19,7,17.57785341881108,21.013999999999996,52.21418544976619,50.25057192151659,-3.4361465811889147,-1.79795274815251,-1.6488623453079383,0.14909040284457165,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,four3_path_tdm_neg,radar,ops,19,7,17.686630431227993,21.013999999999996,52.21418544976619,50.25057192151659,-3.327369568772003,-1.797787371497965,-1.646078231188028,0.1517091403099371,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,four4_path_tdm,radar,ops,19,7,17.876948337955717,21.013999999999996,52.21418544976619,50.25057192151659,-3.1370516620442785,-1.6773360792667766,-1.6078737652293522,0.06946231403742442,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,four4_path_tdm_neg,radar,ops,19,7,17.876948337955895,21.013999999999996,52.21418544976619,50.25057192151659,-3.137051662044101,-1.6773360792667786,-1.6078737652293529,0.06946231403742575,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,tx_later4,radar,ops,19,7,18.76355412298982,21.013999999999996,52.21418544976619,50.25057192151659,-2.2504458770101756,-1.7819413152435286,-1.7435895690895449,0.038351746153983735,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
69,9Iron,A,tx_earlier4,radar,ops,19,7,20.398633905007884,21.013999999999996,52.21418544976619,50.25057192151659,-0.6153660949921118,-1.6787411138973451,-1.673484999547354,0.005256114349991181,0.1524,10.404948650719305,1.5709841628737065,2.7398578407444862,5.4797156814889725,20.68534627546085,0.6427526723379009
70,9Iron,A,two8,radar,ops,22,7,19.28183651249317,22.12999999999998,48.727279229661946,46.809339155828525,-2.8481634875068096,-1.4989053898429034,-1.340994655432078,0.15791073441082548,0.1524,10.404948650719305,1.5709841628737065,2.935175043800109,5.870350087600218,22.179391469162702,0.6104735070053554
