shot,club,block,model,window,center_source,tdm_residual,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
72,7Iron,A,direct1,hann,peak,none,all,3.8,29,8,7.133680867971364,1.6789999999999963,5.454680867971367,-0.8531003062601303,-0.7409041915281497,0.11219611473198066,nan,nan,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,two2,hann,peak,none,all,3.8,29,8,5.238228604609567,1.6789999999999963,3.559228604609571,-0.9310683063493224,-0.9176038567444779,0.013464449604844497,nan,0.29735434568067115,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,four3,hann,peak,none,all,3.8,29,8,8.090195518004144,1.6789999999999963,6.411195518004147,-0.9952496227059551,-0.9683677962450173,0.02688182646093773,0.5077389871371392,0.5422183967745622,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,four4,hann,peak,none,all,3.8,29,8,4.153342536102653,1.6789999999999963,2.474342536102657,-1.3072619446523392,-1.3025733148957204,0.004688629756618878,1.0264856020251087,0.7769789651836921,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
73,7Iron,A,direct1,hann,peak,none,all,3.8,19,5,14.517501930628507,18.677999999999987,-4.16049806937148,-1.0731907335996238,-0.97798698158632,0.09520375201330378,nan,nan,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,two2,hann,peak,none,all,3.8,19,5,14.444908439787783,18.677999999999987,-4.233091560212204,-1.1194084527221402,-1.0265097383455,0.09289871437664021,nan,0.14533483831845084,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,four3,hann,peak,none,all,3.8,19,5,16.351357586877896,18.677999999999987,-2.326642413122091,-1.2076367803799826,-1.1913315612687976,0.016305219111184988,0.16283495702264675,0.11403183289453617,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,four4,hann,peak,none,all,3.8,19,5,16.04406174852192,18.677999999999987,-2.6339382514780674,-1.322515544119261,-1.306405448509859,0.01611009560940202,0.19806461685965338,0.13463898476220373,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
74,7Iron,A,direct1,hann,peak,none,all,3.8,17,5,15.581604775577649,16.30699999999998,-0.7253952244223321,-0.9318739436466386,-0.9290396387275353,0.002834304919103303,nan,nan,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,two2,hann,peak,none,all,3.8,17,5,15.425784077479292,16.30699999999998,-0.8812159225206884,-1.0108668727689942,-1.0064379521095874,0.00442892065940681,nan,0.13081525015788797,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,four3,hann,peak,none,all,3.8,17,5,16.69968508791012,16.30699999999998,0.392685087910138,-1.0887882616858542,-1.088561492846084,0.00022676883977013063,0.15661770183817586,0.14192944301511487,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,four4,hann,peak,none,all,3.8,17,5,13.601662927125945,16.30699999999998,-2.705337072874036,-1.2736306213637094,-1.2692642792622846,0.004366342101424836,0.25860867777126,0.1436651629705143,53.91293463391955,52.245087594089,0.1524,10.404948650719305
75,7Iron,A,direct1,hann,peak,none,all,3.8,20,5,15.28536621788785,17.240999999999993,-1.9556337821121428,-1.0191493800489466,-0.9978804212181261,0.021268958830820472,nan,nan,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,two2,hann,peak,none,all,3.8,20,5,15.287939591454295,17.240999999999993,-1.9530604085456975,-1.111585613511171,-1.0886993504651614,0.022886263046009603,nan,0.16033733362459818,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,four3,hann,peak,none,all,3.8,20,5,13.916372906975988,17.240999999999993,-3.324627093024004,-1.240644833240973,-1.224242046988611,0.01640278625236191,0.23579251681713861,0.17599146296716803,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
75,7Iron,A,four4,hann,peak,none,all,3.8,20,5,14.246583228686456,17.240999999999993,-2.994416771313537,-1.3724103063917057,-1.3598815105244788,0.012528795867226883,0.2637508625129923,0.14373448967526253,52.66122470875392,51.04982513255473,0.1524,10.404948650719305
76,7Iron,A,direct1,hann,peak,none,all,3.8,21,6,6.798097572152242,12.092000000000013,-5.293902427847771,-0.850458286433715,-0.7673244341972403,0.08313385223647474,nan,nan,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,two2,hann,peak,none,all,3.8,21,6,8.482106596699548,12.092000000000013,-3.6098934033004646,-0.9636020910846491,-0.9309506603664989,0.03265143071815024,nan,0.3063821155330573,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,four3,hann,peak,none,all,3.8,21,6,9.059518432327915,12.092000000000013,-3.0324815676720984,-0.9926643763210077,-0.9872124999090214,0.005451876411986301,0.3002298487693458,0.3828434363343112,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
76,7Iron,A,four4,hann,peak,none,all,3.8,21,6,7.662510142267437,12.092000000000013,-4.429489857732576,-1.2879723936944896,-1.275031872732411,0.012940520962078539,0.5928580840435544,0.3062057230036689,46.49208293472332,45.36356297306607,0.1524,10.404948650719305
77,7Iron,A,direct1,hann,peak,none,all,3.8,19,6,11.421992491981468,13.927999999999987,-2.5060075080185182,-0.8435506287331737,-0.8197592084012246,0.02379142033194903,nan,nan,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,two2,hann,peak,none,all,3.8,19,6,9.732076857675295,13.927999999999987,-4.195923142324691,-1.0309373217949056,-0.9787123670355825,0.052224954759323094,nan,0.34075716490763186,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,four3,hann,peak,none,all,3.8,19,6,14.951596730041429,13.927999999999987,1.023596730041442,-1.1521661225317439,-1.1501398777433658,0.0020262447883780954,0.39802474015895417,0.2838677945563493,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,four4,hann,peak,none,all,3.8,19,6,13.487729982588778,13.927999999999987,-0.4402700174112084,-1.3462221392643412,-1.3458007290008147,0.00042141026352648936,0.4733421643301445,0.18982555541780263,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
78,7Iron,A,direct1,hann,peak,none,all,3.8,20,5,-5.0,6.121999999999985,-11.121999999999986,-1.5971089853605984,-0.8915311325102696,0.7055778528503288,nan,nan,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,two2,hann,peak,none,all,3.8,20,5,-4.690324534015388,6.121999999999985,-10.812324534015373,-1.8005365104876838,-1.6051009368098446,0.19543557367783926,nan,0.5363039401874905,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,four3,hann,peak,none,all,3.8,20,5,-4.565326627037963,6.121999999999985,-10.687326627037947,-1.8196976490310839,-1.6301186153552063,0.18957903367587758,0.7855094485552442,0.7432799901514742,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,four4,hann,peak,none,all,3.8,20,5,-4.0788571578444826,6.121999999999985,-10.200857157844467,-1.9096373004157212,-1.740026062047726,0.1696112383679953,0.8923083599651588,0.8378230761705202,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
79,7Iron,A,direct1,hann,peak,none,all,3.8,22,6,7.883210233188495,15.657999999999998,-7.7747897668115025,-0.9254752853782938,-0.6955880873400813,0.22988719803821256,nan,nan,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,two2,hann,peak,none,all,3.8,22,6,8.917996423040087,15.657999999999998,-6.740003576959911,-1.0720608982564543,-0.8910577431612801,0.18100315509517428,nan,0.3459234094291079,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,four3,hann,peak,none,all,3.8,22,6,11.942775941106621,15.657999999999998,-3.7152240588933765,-1.1402535768878588,-1.118216295596026,0.0220372812918328,0.36891199909501043,0.3074323519606946,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,four4,hann,peak,none,all,3.8,22,6,8.91241079095936,15.657999999999998,-6.745589209040638,-1.3615016264580155,-1.3184372208770745,0.043064405580941045,0.44093833779952496,0.2483003300558,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
80,7Iron,A,direct1,hann,peak,none,all,3.8,23,6,13.3851907828715,14.687999999999988,-1.3028092171284875,-0.6947243427244896,-0.6860415203544269,0.008682822370062682,nan,nan,47.430865378597545,45.21606063570799,0.1524,10.404948650719305
