shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
70,9Iron,A,four3,hann,track,positive,22,7,18.988683646319704,22.12999999999998,-3.1413163536802777,-1.0209049310865639,-0.9782052681904899,0.042699662896073964,0.15205828825719014,0.14332289217722866,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
70,9Iron,A,four4,hann,track,positive,22,7,19.75226687199394,22.12999999999998,-2.3777331280060423,-1.0930276472617215,-1.0697701462004907,0.023257501061230812,0.278810529952211,0.144337949313394,48.727279229661946,46.809339155828525,0.1524,10.404948650719305
71,9Iron,A,direct1,hann,track,positive,18,6,17.893379029096625,21.279999999999987,-3.386620970903362,-0.8478360056725543,-0.8111555425207188,0.036680463151835596,nan,nan,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,two2,hann,track,positive,18,6,18.504510192400648,21.279999999999987,-2.775489807599339,-0.8769479385715697,-0.8503893803529032,0.026558558218666484,nan,0.12296713775154838,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,four3,hann,track,positive,18,6,18.478038883680494,21.279999999999987,-2.801961116319493,-1.032735861796213,-1.00590779654276,0.026828065253452937,0.30102327424399533,0.14001306565509478,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
71,9Iron,A,four4,hann,track,positive,18,6,18.661351991675623,21.279999999999987,-2.6186480083243637,-1.085382598412293,-1.06093064878028,0.024451949632012804,0.31099784475081615,0.1319294805455167,49.442542044042305,47.82772354287831,0.1524,10.404948650719305
72,7Iron,A,direct1,hann,track,positive,29,8,7.274678486006539,1.6789999999999963,5.595678486006543,-0.8398649297198297,-0.7284587073431168,0.11140622237671294,nan,nan,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,two2,hann,track,positive,29,8,5.720698162025352,1.6789999999999963,4.041698162025355,-0.9178541722706703,-0.8930107468291106,0.024843425441559708,nan,0.28697389974032683,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,four3,hann,track,positive,29,8,10.356267455904199,1.6789999999999963,8.677267455904202,-0.9916350084165291,-0.9412938440866807,0.050341164329848365,0.5953992291766983,0.4339442473607644,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
72,7Iron,A,four4,hann,track,positive,29,8,7.204230964085704,1.6789999999999963,5.525230964085708,-1.3049744412866602,-1.279480028839762,0.025494412446898096,1.0338425871015777,0.6309566767580531,34.19850331256091,34.01207683687395,0.1524,10.404948650719305
73,7Iron,A,direct1,hann,track,positive,20,6,14.989060079573271,18.677999999999987,-3.6889399204267157,-1.0210720979040913,-0.9519777177061828,0.06909438019790848,nan,nan,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,two2,hann,track,positive,20,6,15.117934774640927,18.677999999999987,-3.5600652253590592,-1.0559688688694413,-0.9844438724843146,0.07152499638512666,nan,0.11004409356888042,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,four3,hann,track,positive,20,6,16.234933137556702,18.677999999999987,-2.4430668624432847,-1.144051466713713,-1.124663673054857,0.019387793658856012,0.16031120039237218,0.1032189065098653,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
73,7Iron,A,four4,hann,track,positive,20,6,16.712749207140426,18.677999999999987,-1.9652507928595604,-1.2490651814247424,-1.2355890191011842,0.013476162323558194,0.1908228327850181,0.13010144839461968,50.470732339714075,48.94787602387909,0.1524,10.404948650719305
74,7Iron,A,direct1,hann,track,positive,17,5,14.480243400446815,16.30699999999998,-1.8267565995531658,-0.9098411252567129,-0.8946228132120215,0.015218312044691373,nan,nan,53.91293463391955,52.245087594089,0.1524,10.404948650719305
74,7Iron,A,two2,hann,track,positive,17,5,14.546168758243539,16.30699999999998,-1.760831241756442,-0.9966340646236432,-0.9813537694740317,0.01528029514961149,nan,0.15182871496217432,53.91293463391955,52.245087594089,0.1524,10.404948650719305
