shot,club,block,strict_angle_pool,ops_track_found,same_track,ops_ball_ms,trackman_ball_ms,tm_guided_radial_ms,ops_guided_radial_ms,radial_speed_delta_ms,first_time_delta_ms,last_time_delta_ms,ops_track_rms_bins,ops_track_inliers
157,7Iron,C,False,True,True,53.33178359723551,55.20934848498395,46.9539661452271,46.9539661452271,0.0,0.0,0.0,0.6664803609558902,18
158,7Iron,C,False,True,True,47.52027323039509,49.08491063685212,42.92092707032564,42.92092707032564,0.0,0.0,0.0,0.42952817852188174,21
159,7Iron,C,False,True,True,51.36481085768952,53.19767181953919,46.52495552574284,46.52495552574284,0.0,0.0,0.0,0.4918592463199912,34
160,7Iron,C,False,True,True,44.703925898772425,45.82152404624174,42.10020604838904,42.10020604838904,0.0,0.0,0.0,0.5816204347542736,22
161,7Iron,C,False,True,True,53.42119144903305,55.254052410882714,46.85982698267406,46.85982698267406,0.0,0.0,0.0,0.5660412174126408,21
162,7Iron,C,False,True,True,52.84004041234901,54.71760530009745,49.109149011064304,49.109149011064304,0.0,0.0,0.0,0.5559354720654177,17
163,7Iron,C,False,True,True,51.051883376398116,52.92944826414656,47.94429344680366,47.94429344680366,0.0,0.0,0.0,0.44571531038023326,34
164,7Iron,C,False,True,True,49.9342852289288,51.81185011667725,47.72079842229609,47.72079842229609,0.0,0.0,0.0,0.49201206893980864,26
165,7Iron,C,False,True,True,52.08007367206988,53.868230708020775,46.669941550817455,46.669941550817455,0.0,0.0,0.0,0.4938400579487959,34
166,7Iron,C,False,True,True,45.329780861355246,46.76030649011596,40.04933791881325,40.04933791881325,0.0,0.0,0.0,0.4746555129212805,39
167,7Iron,C,True,True,True,54.985828855490084,56.863393743238525,54.37043330304314,54.37043330304314,0.0,0.0,0.0,0.5054765799596631,31
168,7Iron,C,True,True,True,52.974152190045324,54.89642100369254,51.629201616096076,51.629201616096076,0.0,0.0,0.0,0.45299926975983273,18
169,7Iron,C,False,True,True,49.08491063685212,50.9177715987018,46.484401010235345,46.484401010235345,0.0,0.0,0.0,0.5100579348410853,29
170,7Iron,C,False,True,True,53.0188561159441,54.85171707779377,46.57049866480041,46.57049866480041,0.0,0.0,0.0,0.3973397101491425,23
171,7Iron,C,False,True,True,52.30359330156374,54.136454263413405,46.595821168158594,46.595821168158594,0.0,0.0,0.0,0.5050094904664006,22
172,7Iron,C,False,True,True,52.21418544976619,54.136454263413405,47.20993460095361,47.20993460095361,0.0,0.0,0.0,0.588392002735145,21
173,7Iron,C,False,True,True,54.62819744829991,56.4163544842508,56.49747388360239,56.49747388360239,0.0,0.0,0.0,0.5888925328461483,22
